ARREST_KEY,ARREST_DATE,PD_CD,KY_CD,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
82422660,2012-01-01,115.0,355.0,PL 1202000,M,M,26,18-24,M,BLACK,996463.0,235457.0,40.81295063800008,-73.95588109399995,POINT (-73.95588109399995 40.812950638000075)
82437191,2012-01-02,759.0,359.0,PL 1950500,M,B,52,18-24,M,WHITE HISPANIC,1011577.0,255024.0,40.86662251100006,-73.90120096599996,POINT (-73.90120096599996 40.86662251100006)
82450817,2012-01-02,567.0,235.0,PL 2211002,M,K,75,18-24,M,BLACK,1019569.0,185331.0,40.67530529600003,-73.87267226099993,POINT (-73.87267226099993 40.67530529600003)
82437288,2012-01-02,101.0,344.0,PL 1200001,M,K,71,25-44,M,BLACK,1001421.0,178336.0,40.65615937600006,-73.93811573399995,POINT (-73.93811573399995 40.65615937600007)
82450875,2012-01-03,113.0,344.0,PL 1201401,M,K,94,<18,M,BLACK,998469.0,201680.0,40.72023852700005,-73.94870571999998,POINT (-73.94870571999998 40.72023852700005)
82450998,2012-01-03,567.0,235.0,PL 2211001,M,K,73,45-64,M,BLACK,1010049.0,183477.0,40.67024934500005,-73.90700005499998,POINT (-73.90700005499998 40.67024934500005)
82451285,2012-01-03,567.0,235.0,PL 2211001,M,M,34,<18,F,WHITE HISPANIC,1005026.0,254061.0,40.86399721800007,-73.92488901199994,POINT (-73.92488901199994 40.863997218000065)
82450511,2012-01-03,759.0,359.0,PL 1950500,M,B,43,<18,F,WHITE HISPANIC,1026382.0,237309.0,40.81794183300008,-73.84778502199998,POINT (-73.84778502199998 40.81794183300008)
82470032,2012-01-04,478.0,343.0,PL 1651503,M,K,84,25-44,M,WHITE,989387.0,190637.0,40.68993802200004,-73.98147789399997,POINT (-73.98147789399997 40.68993802200004)
82470111,2012-01-04,567.0,235.0,PL 2211001,M,K,68,18-24,M,BLACK,979703.0,169951.0,40.63315983300004,-74.01638355799997,POINT (-74.01638355799997 40.63315983300004)
82470488,2012-01-04,339.0,341.0,PL 1552500,M,M,14,18-24,F,WHITE,987472.0,214939.0,40.75664204200007,-73.98837157699995,POINT (-73.98837157699995 40.75664204200007)
82489983,2012-01-05,490.0,232.0,PL 1654000,M,M,10,25-44,M,WHITE,984865.0,211162.0,40.74627569500007,-73.99778193899994,POINT (-73.99778193899994 40.74627569500007)
82489844,2012-01-05,203.0,352.0,PL 1401000,M,M,34,25-44,F,UNKNOWN,1005283.0,253262.0,40.86180359600007,-73.92396237599996,POINT (-73.92396237599998 40.86180359600007)
82490133,2012-01-05,511.0,235.0,PL 2200300,M,M,25,45-64,M,WHITE HISPANIC,1001575.0,232339.0,40.804384046000045,-73.93742166899995,POINT (-73.93742166899995 40.804384046000045)
82489107,2012-01-05,501.0,117.0,PL 2201801,F,B,44,25-44,F,BLACK,1004459.0,245684.0,40.84100616200004,-73.92696416299998,POINT (-73.92696416299998 40.84100616200004)
82489897,2012-01-05,339.0,341.0,PL 1552500,M,M,17,<18,M,ASIAN / PACIFIC ISLANDER,992254.0,214997.0,40.75679820100004,-73.97111078699999,POINT (-73.97111078699999 40.75679820100004)
82489770,2012-01-05,567.0,235.0,PL 2211001,M,K,75,65+,M,BLACK,1020067.0,186633.0,40.67887698800007,-73.87086999499998,POINT (-73.87086999499998 40.67887698800008)
82508441,2012-01-06,511.0,235.0,PL 2200300,M,S,120,45-64,M,WHITE HISPANIC,961172.0,162476.0,40.61261362700003,-74.08312221699998,POINT (-74.08312221699998 40.61261362700003)
